Report Time,Value,Unit,% Change,Product Name,Sub Product,Market,Exchange Rate
2025-04-29,3.31,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174253
2025-04-28,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171164
2025-04-25,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01173385
2025-04-24,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169587
2025-04-23,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01173261
2025-04-22,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174272
2025-04-21,3.28,USD/Kg,1.55,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171186
2025-04-18,3.23,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171186
2025-04-17,3.24,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01167943
2025-04-16,3.23,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01166501
2025-04-15,3.23,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01162378
2025-04-14,3.24,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01163154
2025-04-11,3.25,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01159278
2025-04-10,3.25,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01159976
2025-04-09,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156941
2025-04-08,3.25,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01162536
2025-04-07,3.26,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169187
2025-04-04,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01172585
2025-04-03,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01166912
2025-04-02,3.27,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01168409
2025-04-01,3.27,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01170560
2025-03-31,3.26,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169058
2025-03-28,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01166900
2025-03-27,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01167508
2025-03-26,3.28,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01168315
2025-03-25,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01169148
2025-03-24,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01162818
2025-03-21,3.29,USD/Kg,-0.90,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01158277
2025-03-20,3.32,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01158247
2025-03-19,3.33,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01155058
2025-03-18,3.32,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150513
2025-03-17,3.31,USD/Kg,0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150131
2025-03-14,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150455
2025-03-13,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01147308
2025-03-12,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01146784
2025-03-11,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01144763
2025-03-10,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01147749
2025-03-07,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01147722
2025-03-06,3.31,USD/Kg,0.91,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01151342
2025-03-05,3.28,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01146562
2025-03-04,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01145113
2025-03-03,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01143330
2025-02-28,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01145117
2025-02-27,3.28,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01147069
2025-02-26,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01148305
2025-02-25,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01153560
2025-02-24,3.29,USD/Kg,-1.50,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154734
2025-02-21,3.34,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156479
2025-02-20,3.33,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150972
2025-02-19,3.34,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150914
2025-02-18,3.34,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01151345
2025-02-17,3.36,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154076
2025-02-14,3.35,USD/Kg,2.45,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01152800
2025-02-13,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01149666
2025-02-12,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01151922
2025-02-11,3.27,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01142970
2025-02-10,3.27,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01140137
2025-02-07,3.27,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01141674
2025-02-06,3.29,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01145021
2025-02-05,3.31,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01148038
2025-02-04,3.32,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01150170
2025-02-03,3.33,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154839
2025-01-31,3.32,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154105
2025-01-30,3.31,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154190
2025-01-29,3.32,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154936
2025-01-28,3.31,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156909
2025-01-27,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01159997
2025-01-24,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156499
2025-01-23,3.31,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156432
2025-01-22,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156709
2025-01-21,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01159475
2025-01-20,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01155051
2025-01-17,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154647
2025-01-16,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01156818
2025-01-15,3.27,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01155593
2025-01-14,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01154057
2025-01-13,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01160193
2025-01-10,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01163870
2025-01-09,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01164043
2025-01-08,3.31,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01165427
2025-01-07,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01167120
2025-01-06,3.29,USD/Kg,1.86,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01165956
2025-01-03,3.23,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01165442
2025-01-02,3.24,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01168526
2025-01-01,3.25,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01168526
2024-12-31,3.25,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01165681
2024-12-30,3.26,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01171145
2024-12-27,3.26,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01166679
2024-12-26,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01170624
2024-12-25,3.28,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01173960
2024-12-24,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01175100
2024-12-23,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01177164
2024-12-20,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174873
2024-12-19,3.28,USD/Kg,0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01174181
2024-12-18,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01177521
2024-12-17,3.25,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01177613
2024-12-16,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01179090
2024-12-13,3.25,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01178697
2024-12-12,3.27,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01178521
2024-12-11,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01178101
2024-12-10,3.25,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01178580
2024-12-09,3.27,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01181013
2024-12-06,3.27,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180860
2024-12-05,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180535
2024-12-04,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180903
2024-12-03,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01180217
2024-12-02,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01182489
2024-11-29,3.27,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01183828
2024-11-28,3.26,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184546
2024-11-27,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01185683
2024-11-26,3.25,USD/Kg,0.62,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01186936
2024-11-25,3.23,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184337
2024-11-22,3.23,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01183592
2024-11-21,3.22,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01185048
2024-11-20,3.23,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184864
2024-11-19,3.23,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184852
2024-11-18,3.23,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184011
2024-11-15,3.24,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01183774
2024-11-14,3.24,USD/Kg,0.62,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184504
2024-11-13,3.22,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184897
2024-11-12,3.22,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01184658
2024-11-11,3.23,USD/Kg,0.62,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01185042
2024-11-08,3.21,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01186146
2024-11-07,3.22,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01186923
2024-11-06,3.21,USD/Kg,-0.62,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01188827
2024-11-05,3.23,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01188362
2024-11-04,3.24,USD/Kg,0.62,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01188936
2024-11-01,3.22,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189177
2024-10-31,3.22,USD/Kg,-1.83,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189204
2024-10-30,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189244
2024-10-29,3.28,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189018
2024-10-28,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189037
2024-10-25,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189314
2024-10-24,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189514
2024-10-23,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189210
2024-10-22,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189422
2024-10-21,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189493
2024-10-18,3.31,USD/Kg,-2.07,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189781
2024-10-17,3.38,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189916
2024-10-16,3.38,USD/Kg,1.50,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189576
2024-10-15,3.33,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01189762
2024-10-14,3.33,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01188782
2024-10-11,3.33,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191229
2024-10-10,3.33,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191292
2024-10-09,3.33,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191528
2024-10-08,3.34,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190982
2024-10-07,3.36,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190079
2024-10-04,3.37,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190339
2024-10-03,3.38,USD/Kg,-0.59,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191656
2024-10-02,3.40,USD/Kg,-0.58,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192210
2024-10-01,3.42,USD/Kg,0.29,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192890
2024-09-30,3.41,USD/Kg,2.10,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194506
2024-09-27,3.34,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01196001
2024-09-26,3.34,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194881
2024-09-25,3.33,USD/Kg,2.15,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01196296
2024-09-24,3.26,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01196905
2024-09-23,3.27,USD/Kg,-1.21,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197873
2024-09-20,3.31,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01195961
2024-09-19,3.33,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194818
2024-09-18,3.34,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01193733
2024-09-17,3.36,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192119
2024-09-16,3.37,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192113
2024-09-13,3.38,USD/Kg,0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191563
2024-09-12,3.36,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190573
2024-09-11,3.36,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190728
2024-09-10,3.36,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190743
2024-09-09,3.37,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190719
2024-09-06,3.38,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190712
2024-09-05,3.37,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190725
2024-09-04,3.38,USD/Kg,0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191167
2024-09-03,3.36,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191507
2024-09-02,3.36,USD/Kg,2.44,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192449
2024-08-30,3.28,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191961
2024-08-29,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191294
2024-08-28,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191581
2024-08-27,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192100
2024-08-26,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01193117
2024-08-23,3.30,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191295
2024-08-22,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192012
2024-08-21,3.28,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01193441
2024-08-20,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192224
2024-08-19,3.29,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192231
2024-08-16,3.30,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191204
2024-08-15,3.30,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190877
2024-08-14,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01192150
2024-08-13,3.31,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191931
2024-08-12,3.31,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191185
2024-08-09,3.33,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190630
2024-08-08,3.33,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191292
2024-08-07,3.32,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01191396
2024-08-06,3.32,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01190436
2024-08-05,3.32,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194236
2024-08-02,3.31,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194113
2024-08-01,3.32,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194486
2024-07-31,3.33,USD/Kg,1.52,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01193690
2024-07-30,3.28,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194019
2024-07-29,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194343
2024-07-26,3.28,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194105
2024-07-25,3.29,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194129
2024-07-24,3.29,USD/Kg,0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194643
2024-07-23,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01195155
2024-07-22,3.28,USD/Kg,0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194307
2024-07-19,3.26,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01194896
2024-07-18,3.26,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01196571
2024-07-17,3.26,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197180
2024-07-16,3.25,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01196338
2024-07-15,3.24,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197310
2024-07-12,3.25,USD/Kg,0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197247
2024-07-11,3.24,USD/Kg,-0.92,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197682
2024-07-10,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197730
2024-07-09,3.28,USD/Kg,0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01198210
2024-07-08,3.26,USD/Kg,-0.31,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01198001
2024-07-05,3.27,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197712
2024-07-04,3.28,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197727
2024-07-03,3.28,USD/Kg,-0.61,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01197872
2024-07-02,3.30,USD/Kg,-0.60,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01198444
2024-07-01,3.32,USD/Kg,0.00,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01199505
2024-06-28,3.32,USD/Kg,-0.30,Knitting Yarn,30/1 Combed,Domestic North India,INR: 0.01198306
