Date,Raw_Cotton_Price,Open,High,Low,Vol.,Change %
3/13/2025,66.53,67,67.33,66.41,20.58K,-0.67%
3/12/2025,66.98,65.95,67.03,65.95,20.11K,1.48%
3/11/2025,66,65.9,66.73,65.42,17.58K,0.00%
3/10/2025,66,66,67.07,65.62,30.19K,1.91%
3/7/2025,64.76,64.76,64.76,64.76,20.11K,1.35%
3/6/2025,63.9,63.9,63.9,63.9,37.43K,2.47%
3/5/2025,62.36,61.62,61.62,61.62,0.01K,0.52%
3/4/2025,62.04,63.45,63.73,63.45,0.04K,-3.27%
3/3/2025,64.14,64.69,64.69,64.69,0.00K,-1.70%
2/28/2025,65.25,66.6,66.66,65.18,37.09K,-2.03%
2/27/2025,66.6,66.9,67.35,66.55,21.08K,-0.40%
2/26/2025,66.87,67.5,67.5,66.8,15.63K,-0.74%
2/25/2025,67.37,67.8,67.96,67.15,18.58K,-0.75%
2/24/2025,67.88,67.36,68.19,67.36,17.88K,0.80%
2/21/2025,67.34,67.69,67.84,67.02,22.89K,-0.19%
2/20/2025,67.47,67.68,67.87,67.27,26.43K,-0.31%
2/19/2025,67.68,68.82,68.94,67.64,34.24K,-1.66%
2/18/2025,68.82,68.56,69.25,68.52,36.38K,0.75%
2/14/2025,68.31,68.18,68.85,68.1,24.73K,0.49%
2/13/2025,67.98,68.6,68.6,67.81,32.85K,-0.86%
2/12/2025,68.57,68.45,68.97,68.41,37.76K,0.18%
2/11/2025,68.45,67.92,68.65,67.89,40.51K,1.09%
2/10/2025,67.71,67,68.23,66.95,33.78K,3.17%
2/7/2025,65.63,66.03,66.6,65.56,37.79K,-0.61%
2/6/2025,66.03,66.03,66.51,65.75,27.67K,-0.02%
2/5/2025,66.04,66.9,67.31,65.94,34.03K,-1.34%
2/4/2025,66.94,66.04,67.15,66.04,36.67K,1.36%
2/3/2025,66.04,65.57,66.21,65.01,40.49K,0.24%
1/31/2025,65.88,66.25,66.48,65.7,27.25K,-0.59%
1/30/2025,66.27,66.67,66.68,66.01,27.79K,-0.59%
1/29/2025,66.66,67,67.16,66.63,23.16K,-0.48%
1/28/2025,66.98,67.3,67.6,66.91,17.86K,-0.43%
1/27/2025,67.27,67.69,68.17,67.21,19.02K,-0.50%
1/24/2025,67.61,67.47,68.44,67.46,19.03K,0.21%
1/23/2025,67.47,67.14,67.7,66.76,17.76K,0.49%
1/22/2025,67.14,67.62,67.96,67.11,18.28K,-0.77%
1/21/2025,67.66,67.66,68.3,67.36,22.95K,0.09%
1/17/2025,67.6,66.8,67.63,66.64,24.86K,1.30%
1/16/2025,66.73,67.77,67.77,66.6,21.38K,-1.53%
1/15/2025,67.77,67.49,67.84,67.28,16.48K,0.40%
1/14/2025,67.5,67.64,67.98,67.36,18.69K,-0.21%
1/13/2025,67.64,67.08,67.81,66.76,30.09K,0.94%
1/10/2025,67.01,68.51,68.7,66.9,30.96K,-2.18%
1/9/2025,68.5,68.22,68.75,67.86,15.85K,0.40%
1/8/2025,68.23,68.52,68.64,68.04,15.48K,-0.41%
1/7/2025,68.51,68.6,69.15,68.41,16.53K,-0.25%
1/6/2025,68.68,67.76,68.75,67.76,19.36K,1.51%
1/3/2025,67.66,68.5,68.72,67.63,18.81K,-1.33%
1/2/2025,68.57,68.4,69.44,68.26,16.09K,0.25%
12/31/2024,68.4,68.5,68.89,68.27,9.67K,-0.12%
12/30/2024,68.48,68.78,69.25,68.26,10.23K,-0.60%
12/27/2024,68.89,68.67,69,68.3,8.14K,0.20%
12/26/2024,68.75,68.78,69.17,68.5,7.67K,-0.04%
12/24/2024,68.78,69.37,69.65,68.68,10.18K,-0.92%
12/23/2024,69.42,68.15,69.86,68.15,21.94K,2.00%
12/20/2024,68.06,67.91,68.21,67.48,18.36K,0.22%
12/19/2024,67.91,68.11,68.34,67.56,19.80K,-0.25%
12/18/2024,68.08,68.65,68.9,68.05,21.11K,-0.89%
12/17/2024,68.69,69.06,69.19,68.55,20.10K,-0.54%
12/16/2024,69.06,69.27,69.91,69.02,13.70K,-0.30%
12/13/2024,69.27,70,70.07,69.2,15.26K,-1.17%
12/12/2024,70.09,69.87,70.47,69.84,15.62K,-0.09%
12/11/2024,70.15,69.48,70.39,69.05,22.94K,0.96%
12/10/2024,69.48,69.95,70.17,69.25,22.72K,-0.67%
12/9/2024,69.95,70.01,70.75,69.75,20.51K,-2.03%
12/6/2024,71.4,71.4,71.4,71.4,22.62K,-1.37%
12/5/2024,72.39,72.84,72.94,72.84,0.02K,-0.29%
12/4/2024,72.6,72.81,72.82,72.81,0.19K,-0.12%
12/3/2024,72.69,72.35,72.35,72.35,0.00K,0.36%
12/2/2024,72.43,72.43,72.43,72.43,26.41K,-1.25%
11/29/2024,73.35,73.63,73.65,73.39,0.00K,-0.30%
11/27/2024,73.57,73.47,73.7,73.47,0.01K,0.27%
11/26/2024,73.37,72.85,73.25,72.85,0.78K,0.23%
11/25/2024,73.2,71.99,73.34,71.99,0.05K,2.16%
11/22/2024,71.65,71.02,71.45,71.02,0.56K,3.56%
11/21/2024,69.19,68.46,71.46,68.05,4.08K,1.07%
11/20/2024,68.46,66.79,68.97,66.75,11.71K,2.35%
11/19/2024,66.89,66.61,67.08,66,12.14K,0.41%
11/18/2024,66.62,66.83,67.1,66.42,12.22K,-0.27%
11/15/2024,66.8,68.35,68.37,66.65,13.47K,-2.22%
11/14/2024,68.32,68.8,69.74,68.27,15.82K,-0.84%
11/13/2024,68.9,68.75,69.04,67.96,24.30K,0.19%
11/12/2024,68.77,69.88,70.02,68.72,29.25K,-1.32%
11/11/2024,69.69,70.97,71.24,69.61,37.43K,-1.82%
11/8/2024,70.98,71.03,71.36,70.01,41.80K,-0.10%
11/7/2024,71.05,69.75,71.18,69.75,38.88K,1.95%
11/6/2024,69.69,69.95,70,68.95,32.81K,-0.37%
11/5/2024,69.95,69.93,70.18,69.42,20.30K,0.03%
11/4/2024,69.93,70.18,70.99,69.71,27.02K,-0.34%
11/1/2024,70.17,69.61,71.4,69.4,33.38K,0.86%
10/31/2024,69.57,70.12,70.12,69.26,24.52K,-0.50%
10/30/2024,69.92,70.51,70.74,69.78,17.63K,-0.91%
10/29/2024,70.56,70.36,71.11,70,17.99K,0.28%
10/28/2024,70.36,70.69,71.04,69.93,21.18K,-0.42%
10/25/2024,70.66,71.46,71.65,70.61,20.88K,-1.22%
10/24/2024,71.53,72.46,72.69,71.25,16.30K,-1.35%
10/23/2024,72.51,72.08,72.75,71.86,16.05K,0.60%
10/22/2024,72.08,72.35,72.42,71.72,18.93K,-0.17%
10/21/2024,72.2,71.05,72.6,71,24.05K,1.70%
10/18/2024,70.99,70.82,71.73,70.8,16.22K,0.33%
10/17/2024,70.76,71.28,71.5,70.16,23.99K,-0.70%
10/16/2024,71.26,70.62,71.99,70.62,17.86K,0.91%
10/15/2024,70.62,71.06,71.38,70.55,15.03K,-0.58%
10/14/2024,71.03,72.2,72.2,70.6,23.57K,-1.63%
10/11/2024,72.21,72.62,73.5,71.76,21.78K,-0.62%
10/10/2024,72.66,72.2,72.72,71.75,16.85K,0.90%
10/9/2024,72.01,72.25,72.9,72.01,17.27K,-0.03%
10/8/2024,72.03,73.59,73.59,71.11,29.40K,-1.72%
10/7/2024,73.29,73,74.14,72.97,15.82K,0.36%
10/4/2024,73.03,72.7,73.35,72.13,12.39K,0.74%
10/3/2024,72.49,73.38,73.6,71.86,23.71K,-0.92%
10/2/2024,73.16,73,73.7,72.42,12.33K,0.22%
10/1/2024,73,73.54,74,72.8,21.18K,-0.76%
9/30/2024,73.56,72.97,73.72,72.78,18.64K,0.03%
9/27/2024,73.54,73.07,73.95,71.68,23.15K,-0.43%
9/26/2024,73.86,73.29,74.2,72.6,21.44K,-0.22%
9/25/2024,74.02,74.24,74.4,74.2,0.01K,1.26%
9/24/2024,73.1,73.47,74.55,73.2,25.37K,1.95%
9/23/2024,71.7,74.04,74.05,71.63,0.01K,-0.71%
9/20/2024,72.21,71.92,74.58,71.86,0.04K,0.88%
9/19/2024,71.58,69.61,70.02,69.61,0.01K,2.73%
9/18/2024,69.68,71,71,69.68,0.01K,-1.60%
9/17/2024,70.81,71.16,71.16,70.42,0.03K,-1.31%
9/16/2024,71.75,70.1,72.47,70.1,0.03K,3.27%
9/13/2024,69.48,70.45,70.85,69.45,15.85K,-0.81%
9/12/2024,70.05,69.64,70.59,69.3,22.59K,1.07%
9/11/2024,69.31,68.4,70.65,68.4,0.05K,1.81%
9/10/2024,68.08,68.47,68.53,67.78,0.01K,0.80%
9/9/2024,67.54,67.62,68.41,67.25,0.02K,0.63%
9/6/2024,67.12,69,69,66.93,0.02K,-3.41%
9/5/2024,69.49,69.9,70.05,69.33,0.01K,-0.57%
9/4/2024,69.89,69.55,70.18,69.37,0.00K,-1.23%
9/3/2024,70.76,69.15,71.71,69.15,0.03K,1.39%
8/30/2024,69.79,69.93,69.93,69.55,0.01K,-0.48%
8/29/2024,70.13,69.5,70.2,69.09,0.01K,2.02%
8/28/2024,68.74,69.55,69.55,68.6,0.01K,-1.83%
8/27/2024,70.02,70.27,70.91,69.32,0.03K,-0.79%
8/26/2024,70.58,71.97,71.99,71.26,0.01K,-1.00%
8/23/2024,71.29,70.42,71.1,70.42,0.01K,2.44%
8/22/2024,69.59,69.79,70.87,68.51,0.04K,-0.17%
8/21/2024,69.71,68.82,69.75,68.82,0.05K,1.32%
8/20/2024,68.8,68.55,69.19,68.42,0.02K,1.21%
8/19/2024,67.98,66.78,68.5,66.78,0.02K,2.29%
8/16/2024,66.46,66.35,66.36,65.78,0.02K,0.18%
8/15/2024,66.34,66.6,66.75,66.45,0.01K,0.24%
8/14/2024,66.18,66.97,67.55,66.12,0.03K,-1.37%
8/13/2024,67.1,67.8,67.95,67.34,0.02K,-1.74%
8/12/2024,68.29,67.55,69.95,67.55,0.06K,1.79%
8/9/2024,67.09,66.21,67.4,66.21,0.03K,1.98%
8/8/2024,65.79,66.07,66.1,65.3,0.02K,-1.02%
8/7/2024,66.47,66,67,65.92,0.03K,0.41%
8/6/2024,66.2,66.69,66.69,66.22,0.01K,-0.53%
8/5/2024,66.55,67.09,67.74,65.68,0.02K,-0.94%
8/2/2024,67.18,66.52,67.93,66.52,0.02K,0.45%
8/1/2024,66.88,67.6,68.7,66.7,0.01K,-1.62%
7/31/2024,67.98,68.35,68.36,67.16,0.04K,-0.25%
7/30/2024,68.15,67.52,68.5,67.52,0.02K,0.95%
7/29/2024,67.51,66.77,67.74,66.77,0.02K,2.18%
7/26/2024,66.07,66.4,66.4,65.68,0.01K,-1.70%
7/25/2024,67.21,66.4,67.25,66.24,0.03K,0.30%
7/24/2024,67.01,68.01,68.01,65.9,0.08K,-1.50%
7/23/2024,68.03,70.64,70.64,67.59,0.09K,-2.99%
7/22/2024,70.13,70.13,70.87,69.85,0.03K,0.21%
7/19/2024,69.98,70.31,71.04,69.93,0.01K,-1.95%
7/18/2024,71.37,71.01,71.6,71.01,0.02K,0.35%
7/17/2024,71.12,71,72.04,71,0.03K,1.07%
7/16/2024,70.37,70.65,70.95,69.81,0.04K,-0.69%
7/15/2024,70.86,69.33,71.56,68.9,0.06K,2.81%
7/12/2024,68.92,69.1,69.1,68.3,0.03K,-0.20%
7/11/2024,69.06,69.84,69.93,68.93,0.05K,-0.39%
7/10/2024,69.33,69.27,70.25,69.1,0.08K,3.54%
7/9/2024,66.96,69.59,69.59,68.78,0.03K,-0.53%
7/8/2024,67.32,69.39,70.18,69.26,0.04K,0.01%
7/5/2024,67.31,70.75,70.75,69.38,0.02K,-1.99%
7/3/2024,68.68,71.63,72.08,70.85,0.04K,-0.94%
7/2/2024,69.33,72.8,73.08,71.33,0.04K,-1.06%
7/1/2024,70.07,71.9,71.9,71.9,0.00K,0.37%
6/28/2024,69.81,74.23,74.65,71.21,0.05K,-3.07%
6/27/2024,72.02,74.23,75.17,73.17,0.04K,-0.94%
6/26/2024,72.7,73.25,73.29,70.09,0.01K,0.14%
6/25/2024,72.6,72,73.69,72,0.01K,1.84%
6/24/2024,71.29,67.92,71.53,67.9,0.06K,4.55%
6/21/2024,68.19,71.06,71.2,67.85,4.81K,-3.75%
6/20/2024,70.85,71.01,71.98,70.69,5.21K,-0.25%
6/18/2024,71.03,70.01,71.95,68.9,9.94K,1.56%
6/17/2024,69.94,70.85,71.22,68.29,12.44K,-1.45%
6/14/2024,70.97,71.59,71.82,70.84,11.39K,-0.53%
6/13/2024,71.35,71.73,72.2,71.3,12.08K,-0.54%
6/12/2024,71.74,73,73.24,71.5,18.97K,-1.36%
6/11/2024,72.73,72.11,73.54,71.51,19.35K,1.28%
6/10/2024,71.81,73.84,74.28,71.28,24.60K,-2.75%
6/7/2024,73.84,75.61,76,73.54,23.03K,-2.12%
6/6/2024,75.44,74.33,75.91,73.7,21.19K,1.34%
6/5/2024,74.44,73.6,75.36,73.48,19.14K,1.31%
6/4/2024,73.48,73.15,74.04,72.26,27.89K,0.45%
6/3/2024,73.15,76.15,76.53,73.15,33.07K,-3.94%
5/31/2024,76.15,78.48,78.83,76.07,24.77K,-2.07%
5/30/2024,77.76,81.09,82.17,77.21,26.69K,-4.12%
5/29/2024,81.1,82.33,82.5,80.25,16.69K,-1.61%
5/28/2024,82.43,80.66,83.19,80.3,24.06K,2.37%
5/24/2024,80.52,81.4,82.17,79.53,22.72K,-1.47%
5/23/2024,81.72,79.38,82.6,78.36,38.87K,2.95%
5/22/2024,79.38,76.23,79.38,76.23,20.58K,3.93%
5/21/2024,76.38,76.03,76.71,74.98,15.89K,0.46%
5/20/2024,76.03,75.91,76.98,75.5,13.52K,0.18%
5/17/2024,75.89,75.92,76.83,75.55,9.60K,-0.46%
5/16/2024,76.24,75.64,77.24,75.22,18.85K,1.10%
5/15/2024,75.41,74.6,75.91,73.68,25.62K,1.05%
5/14/2024,74.63,77.74,77.91,74.63,28.50K,-3.86%
5/13/2024,77.63,77.45,78.43,77.11,14.07K,0.41%
5/10/2024,77.31,78.38,78.58,76.65,16.78K,-1.64%
5/9/2024,78.6,80.23,80.23,77.78,25.70K,-1.82%
5/8/2024,80.06,77.49,80.29,77.27,28.98K,3.97%
5/7/2024,77,77.59,78.56,76.75,16.53K,0.57%
5/6/2024,76.56,78.06,79.84,76.51,18.83K,-1.03%
5/3/2024,77.36,75.66,78.62,74.93,31.80K,3.26%
5/2/2024,74.92,76.52,78.13,75.25,23.81K,-1.17%
5/1/2024,75.81,78.52,78.52,76.05,32.66K,-2.71%
4/30/2024,77.92,79.3,79.3,79.3,0.01K,-2.62%
4/29/2024,80.02,80.18,80.18,80.18,0.00K,0.78%
4/26/2024,79.4,80.07,80.07,80.07,0.00K,-0.23%
4/25/2024,79.58,80.91,81.7,80.7,16.65K,0.09%
4/24/2024,79.51,81.72,82,80.9,12.88K,-0.89%
4/23/2024,80.22,80,80.81,78.13,1.22K,0.22%
4/22/2024,80.04,78.8,80.36,78.78,2.82K,1.72%
4/19/2024,78.69,78.27,79.77,77.86,4.18K,0.76%
4/18/2024,78.1,79.65,79.93,77.41,8.60K,-1.84%
4/17/2024,79.56,81.27,81.94,79.03,7.26K,-2.13%
4/16/2024,81.29,83.07,83.4,79.5,15.20K,-1.98%
4/15/2024,82.93,82.6,84.27,82.6,15.08K,0.38%
4/12/2024,82.62,83.36,83.97,81.7,21.65K,-0.90%
4/11/2024,83.37,85.34,85.48,83.15,28.46K,-2.27%
4/10/2024,85.31,86.11,86.69,85.25,36.69K,-0.85%
4/9/2024,86.04,86.79,87.23,85.96,32.19K,-0.70%
4/8/2024,86.65,86.33,88.24,86.12,31.72K,0.46%
4/5/2024,86.25,87.2,87.6,86.17,34.89K,-1.02%
4/4/2024,87.14,88.9,89.25,87.1,30.42K,-2.07%
4/3/2024,88.98,90.81,91.15,88.86,29.02K,-2.02%
4/2/2024,90.81,92.76,92.9,90.7,22.77K,-2.10%
4/1/2024,92.76,91.57,92.88,91.54,12.91K,1.51%
3/28/2024,91.38,90.98,91.97,90.51,20.17K,0.67%
3/27/2024,90.77,93.41,93.41,90.56,21.78K,-2.83%
3/26/2024,93.41,92.03,94.27,92.03,18.48K,1.51%
3/25/2024,92.02,91.69,92.31,90.98,16.37K,0.54%
3/22/2024,91.53,92.22,92.85,91.42,15.28K,-0.74%
3/21/2024,92.21,92.5,93.5,91.84,16.11K,0.03%
3/20/2024,92.18,93.42,93.47,91.81,16.31K,-1.24%
3/19/2024,93.34,94.57,94.65,92.19,24.59K,-1.30%
3/18/2024,94.57,93.88,96.2,93.8,16.25K,0.67%
3/15/2024,93.94,93.63,94.55,93.26,14.92K,0.49%
3/14/2024,93.48,95.05,95.54,93.2,22.30K,-1.50%
3/13/2024,94.9,95.23,96.23,94.52,13.69K,-0.35%
3/12/2024,95.23,95.06,95.77,94.05,20.01K,0.18%
3/11/2024,95.06,94.86,97.53,94.55,23.70K,-0.23%
3/8/2024,95.28,99.2,101.5,95.28,30.10K,-4.03%
3/7/2024,99.28,94.86,99.28,94.86,27.15K,0.14%
3/6/2024,99.14,94.4,97.7,94.4,22.02K,1.06%
3/5/2024,98.1,94.54,95.35,93.14,23.01K,-0.35%
3/4/2024,98.44,99,99,99,0.00K,0.90%
3/1/2024,97.56,99.5,100.3,95.57,27.85K,-3.94%
2/29/2024,101.56,100.5,100.5,97.25,36.02K,-1.47%
2/28/2024,103.07,103.79,107.25,103.79,0.01K,2.30%
2/27/2024,100.75,96.75,99,96.71,0.03K,4.32%
2/26/2024,96.58,94.78,96.13,94.78,0.01K,1.74%
2/23/2024,94.93,93.88,95.42,93.51,0.22K,0.77%
2/22/2024,94.2,92.6,94.55,92.13,2.58K,1.73%
2/21/2024,92.6,91.1,93.93,90.89,4.18K,1.55%
2/20/2024,91.19,93.55,93.72,90.5,10.97K,-2.86%
2/16/2024,93.87,94.63,95.93,92.96,5.95K,-0.80%
2/15/2024,94.63,93.48,95.2,93.1,9.36K,1.23%
2/14/2024,93.48,91.52,94.49,90.91,15.18K,2.14%
2/13/2024,91.52,90.25,92.5,90.1,17.96K,1.09%
2/12/2024,90.53,91.52,91.65,89.4,28.35K,-1.36%
2/9/2024,91.78,89.43,92,88.56,39.79K,3.01%
2/8/2024,89.1,88.47,89.28,88.14,29.50K,0.71%
2/7/2024,88.47,87.59,88.68,87.21,29.95K,1.06%
2/6/2024,87.54,87,87.83,86.95,18.57K,0.57%
2/5/2024,87.04,86.93,87.45,86.51,27.69K,-0.08%
2/2/2024,87.11,86.42,87.32,85.8,28.33K,0.72%
2/1/2024,86.49,85.1,86.9,84.8,35.55K,1.55%
1/31/2024,85.17,84.68,85.37,84.5,20.54K,0.46%
1/30/2024,84.78,84.5,84.93,83.65,21.34K,0.62%
1/29/2024,84.26,84.46,85.21,83.86,21.85K,-0.13%
1/26/2024,84.37,85.68,85.86,84.16,23.26K,-1.62%
1/25/2024,85.76,85.3,85.83,85.08,22.81K,0.42%
1/24/2024,85.4,84.5,85.49,84.29,24.64K,0.95%
1/23/2024,84.6,84.82,84.83,84.03,26.24K,-0.27%
1/22/2024,84.83,83.89,84.99,83.54,33.55K,1.05%
1/19/2024,83.95,82.5,84.72,82.31,45.23K,1.75%
1/18/2024,82.51,81.87,82.6,81.65,18.09K,0.99%
1/17/2024,81.7,81.31,82.45,81.01,21.92K,0.45%
1/16/2024,81.33,81.31,81.52,80.68,15.88K,0.02%
1/12/2024,81.31,81.36,82.22,81.06,21.84K,-0.06%
1/11/2024,81.36,80.03,81.95,80.02,24.27K,1.47%
1/10/2024,80.18,80.72,81.1,79.92,18.12K,-0.68%
1/9/2024,80.73,80.46,81.23,80.3,15.33K,0.39%
1/8/2024,80.42,80.01,80.81,79.6,16.72K,0.29%
1/5/2024,80.19,80.12,80.57,79.59,15.71K,0.09%
1/4/2024,80.12,80.81,81.25,80.08,15.90K,-1.00%
1/3/2024,80.93,80.25,81.45,80.11,18.95K,1.24%
1/2/2024,79.94,80.87,81.75,79.69,18.90K,-1.31%
12/29/2023,81,80.81,81.75,80.44,14.27K,0.06%
12/28/2023,80.95,80.48,81.3,80.19,13.25K,0.52%
12/27/2023,80.53,80,80.76,79.51,13.60K,0.60%
12/26/2023,80.05,79.76,80.5,79.62,6.76K,0.36%
12/22/2023,79.76,79.26,80.89,79.25,15.23K,0.80%
12/21/2023,79.13,79.5,79.85,78.31,17.45K,-0.10%
12/20/2023,79.21,79.46,80.59,79.01,14.51K,-0.31%
12/19/2023,79.46,79.18,79.87,78.86,14.60K,0.46%
12/18/2023,79.1,80,80.12,79.05,17.26K,-1.04%
12/15/2023,79.93,80.81,81.5,79.83,15.22K,-1.09%
12/14/2023,80.81,81.18,82.28,80.7,15.89K,-0.46%
12/13/2023,81.18,81.05,81.71,80.78,12.00K,0.16%
12/12/2023,81.05,81.98,82.36,80.6,15.83K,-1.16%
12/11/2023,82,81.46,82.5,81.39,16.66K,0.69%
12/8/2023,81.44,82.73,83.13,81.12,23.49K,-1.39%
12/7/2023,82.59,79.61,82.75,79.52,35.32K,4.88%
12/6/2023,78.75,79.69,80.78,79.37,15.44K,0.09%
12/5/2023,78.68,78.79,79.95,78.65,12.91K,1.29%
12/4/2023,77.68,78.42,78.42,78.25,0.04K,-0.94%
12/1/2023,78.42,76,79.48,76,0.01K,-1.23%
11/30/2023,79.4,79.77,79.77,79.07,0.01K,1.03%
11/29/2023,78.59,78.82,78.82,78.82,0.00K,-0.01%
11/28/2023,78.6,78.79,78.79,78.79,0.01K,0.01%
11/27/2023,78.59,80.42,80.42,80.42,0.04K,-2.24%
11/24/2023,80.39,79.58,80.68,78.27,0.38K,1.02%
11/22/2023,79.58,77.6,79.75,77.55,3.76K,2.90%
11/21/2023,77.34,77.75,77.75,76.68,10.66K,-0.81%
11/20/2023,77.97,78.6,79.12,77.02,7.39K,-1.20%
11/17/2023,78.92,78.62,79.41,78.23,5.65K,0.31%
11/16/2023,78.68,78.23,79.49,77.91,7.85K,0.34%
11/15/2023,78.41,78.54,79.19,78.04,8.68K,-0.34%
11/14/2023,78.68,77.48,79.88,77.31,19.47K,1.55%
11/13/2023,77.48,77.3,78,76.82,23.20K,0.21%
11/10/2023,77.32,76.28,77.75,75.53,27.66K,1.05%
11/9/2023,76.52,75,77.29,74.9,35.68K,2.18%
11/8/2023,74.89,76.5,76.92,74.77,36.59K,-2.08%
11/7/2023,76.48,77.95,78.16,76.25,36.28K,-1.95%
11/6/2023,78,79.42,79.97,77.86,29.93K,-2.03%
11/3/2023,79.62,79.8,80.5,79.2,16.75K,-0.23%
11/2/2023,79.8,79.55,80.82,79.48,24.08K,0.45%
